name,sector,stage,geography,commitVelocity14d,commitVelocityChange,contributors,contributorGrowth,newRepos,signalType,githubUrl
open-condo-software,PropTech,Growth,LATAM,44,-17%,50,+0%,0,Framework migration,https://github.com/open-condo-software
bigprof-software,PropTech,Pre-seed,Unknown,1,+999%,3,+0%,0,Deploy frequency spike,https://github.com/bigprof-software
WillowInc,PropTech,Seed,APAC,7,-63%,14,+100%,0,Engineering hiring burst,https://github.com/WillowInc
opengeos,PropTech,Seed,US,176,-4%,12,+375%,0,Engineering hiring burst,https://github.com/opengeos
SFDigitalServices,PropTech,Series A/B,US,12,+0%,35,+0%,0,Framework migration,https://github.com/SFDigitalServices
bloom-housing,PropTech,Series A/B,Unknown,19,+58%,40,+51%,0,Engineering hiring burst,https://github.com/bloom-housing
Synapsr,PropTech,Pre-seed,EU,49,+63%,4,+25%,0,Framework migration,https://github.com/Synapsr
Qloapps,PropTech,Seed,APAC,4,+33%,17,+0%,0,Framework migration,https://github.com/Qloapps
rosteleset,PropTech,Pre-seed,Unknown,10,+999%,3,+0%,0,Deploy frequency spike,https://github.com/rosteleset
etewiah,PropTech,Series A/B,Unknown,5,+999%,22,+233%,0,Engineering hiring burst,https://github.com/etewiah
ahacker-1,PropTech,Pre-seed,Unknown,1,-99%,3,+0%,0,Framework migration,https://github.com/ahacker-1
tae0y,PropTech,Pre-seed,Unknown,7,+999%,3,+133%,0,Engineering hiring burst,https://github.com/tae0y
AleksNeStu,PropTech,Pre-seed,Unknown,6,-85%,6,+0%,0,Framework migration,https://github.com/AleksNeStu
orangecoding,PropTech,Series A/B,Unknown,4,-56%,43,+0%,0,Framework migration,https://github.com/orangecoding
aelassas,PropTech,Pre-seed,Unknown,1,+999%,6,+0%,0,Deploy frequency spike,https://github.com/aelassas
nmi-agro,AgTech,Pre-seed,EU,100,-33%,7,+0%,0,Framework migration,https://github.com/nmi-agro
ARPA-SIMC,AgTech,Seed,Unknown,14,-42%,12,+0%,0,Framework migration,https://github.com/ARPA-SIMC
fineprint-global,AgTech,Seed,Unknown,14,+250%,9,+178%,0,Engineering hiring burst,https://github.com/fineprint-global
LiteFarmOrg,AgTech,Growth,Canada,186,+49%,65,+0%,0,Framework migration,https://github.com/LiteFarmOrg
FoodOntology,AgTech,Seed,Unknown,26,+18%,12,+17%,0,Framework migration,https://github.com/FoodOntology
Fields2Cover,AgTech,Series A/B,EU,5,+999%,22,+400%,0,Engineering hiring burst,https://github.com/Fields2Cover
cran-task-views,AgTech,Seed,Unknown,2,+999%,13,+0%,0,Deploy frequency spike,https://github.com/cran-task-views
o3de,AgTech,Growth,Unknown,34,+10%,100,+68%,0,Engineering hiring burst,https://github.com/o3de
rspatial,AgTech,Series A/B,Unknown,32,+52%,49,+0%,0,Framework migration,https://github.com/rspatial
PhotoFlare,AgTech,Series A/B,Unknown,17,+1600%,21,+0%,0,Deploy frequency spike,https://github.com/PhotoFlare
sapic,AgTech,Pre-seed,US,4,+999%,7,+0%,0,Deploy frequency spike,https://github.com/sapic
PCGEx,Gaming,Seed,Canada,70,+6%,12,+29%,0,Framework migration,https://github.com/PCGEx
Mountea-Framework,Gaming,Pre-seed,Unknown,18,-47%,4,+43%,0,Framework migration,https://github.com/Mountea-Framework
calagopus,Gaming,Series A/B,EU,38,-52%,24,+0%,1,Framework migration,https://github.com/calagopus
LacledesLAN,Gaming,Pre-seed,Unknown,1,+0%,3,+50%,2,Engineering hiring burst,https://github.com/LacledesLAN
MothCocoon,Gaming,Pre-seed,Unknown,8,+999%,3,+33%,0,Deploy frequency spike,https://github.com/MothCocoon
bevyengine,Gaming,Growth,US,147,+167%,100,+0%,0,Deploy frequency spike,https://github.com/bevyengine
phase-rs,Gaming,Growth,US,715,+6%,88,+0%,0,Framework migration,https://github.com/phase-rs
thunder-engine,Gaming,Seed,Unknown,4,-75%,17,+36%,0,Framework migration,https://github.com/thunder-engine
o2-engine,Gaming,Pre-seed,Unknown,18,+200%,4,+0%,0,Deploy frequency spike,https://github.com/o2-engine
QuartermindGames,Gaming,Pre-seed,UK,2,+100%,4,+0%,0,Framework migration,https://github.com/QuartermindGames
RouteVN,Gaming,Pre-seed,Unknown,64,+42%,7,+54%,0,Engineering hiring burst,https://github.com/RouteVN
castle-engine,Gaming,Series A/B,Unknown,28,+8%,24,+0%,0,Framework migration,https://github.com/castle-engine
TheXTech,Gaming,Series A/B,Unknown,34,-21%,33,+368%,0,Engineering hiring burst,https://github.com/TheXTech
TheVessels,Gaming,Pre-seed,Unknown,55,+358%,5,+37%,0,Deploy frequency spike,https://github.com/TheVessels
boardgameio,Gaming,Growth,Unknown,7,+40%,100,+0%,0,Framework migration,https://github.com/boardgameio
gurkenlabs,Gaming,Series A/B,EU,5,+67%,31,+0%,0,Framework migration,https://github.com/gurkenlabs
rpgppengine,Gaming,Pre-seed,Unknown,31,+520%,4,+34%,0,Deploy frequency spike,https://github.com/rpgppengine
open-space-collective,Space Tech,Pre-seed,Unknown,47,-6%,5,+0%,0,Framework migration,https://github.com/open-space-collective
OpenCyphal,Space Tech,Series A/B,Unknown,3,+50%,24,+400%,0,Engineering hiring burst,https://github.com/OpenCyphal
RocketPy-Team,Space Tech,Growth,Unknown,24,-54%,72,+400%,0,Engineering hiring burst,https://github.com/RocketPy-Team
ut-issl,Space Tech,Pre-seed,APAC,54,-10%,4,+74%,3,Engineering hiring burst,https://github.com/ut-issl
orbiternassp,Space Tech,Series A/B,Unknown,7,-53%,37,+0%,0,Framework migration,https://github.com/orbiternassp
DaedalusDock,Space Tech,Growth,Unknown,23,+44%,100,+0%,0,Framework migration,https://github.com/DaedalusDock
Official-MoonDao,Space Tech,Series A/B,Unknown,104,+96%,30,+0%,0,Framework migration,https://github.com/Official-MoonDao
OpenC3,Space Tech,Series A/B,US,110,-14%,49,+0%,0,Framework migration,https://github.com/OpenC3
NASA-AMMOS,Space Tech,Growth,Unknown,19,+27%,76,+0%,0,Framework migration,https://github.com/NASA-AMMOS
endless-sky,Space Tech,Growth,US,22,-44%,54,+30%,0,Framework migration,https://github.com/endless-sky
elodin-sys,Space Tech,Seed,US,10,-29%,19,+5%,0,Framework migration,https://github.com/elodin-sys
CelestiaProject,Space Tech,Series A/B,Unknown,7,+133%,34,+67%,0,Engineering hiring burst,https://github.com/CelestiaProject
naev,Space Tech,Growth,Unknown,78,-39%,100,+66%,0,Engineering hiring burst,https://github.com/naev
spedas,Space Tech,Series A/B,Unknown,27,+80%,39,+226%,3,Engineering hiring burst,https://github.com/spedas
starwards,Space Tech,Pre-seed,Unknown,14,+56%,5,+10%,0,Framework migration,https://github.com/starwards
mx-space,Space Tech,Series A/B,APAC,36,-22%,26,+0%,0,Framework migration,https://github.com/mx-space
SatDump,Space Tech,Growth,Unknown,7,+250%,58,+0%,0,Deploy frequency spike,https://github.com/SatDump
ossimlabs,Space Tech,Series A/B,Unknown,1,+999%,34,+0%,0,Deploy frequency spike,https://github.com/ossimlabs
nextcloud,Social & Community,Growth,Unknown,5,+150%,74,+0%,1,Deploy frequency spike,https://github.com/nextcloud
GetStream,Social & Community,Series A/B,Unknown,9,-47%,32,+0%,0,Framework migration,https://github.com/GetStream
eclipse-zenoh,Social & Community,Series A/B,Unknown,5,+150%,22,+125%,0,Engineering hiring burst,https://github.com/eclipse-zenoh
Mininglamp-OSS,Social & Community,Seed,APAC,40,-27%,17,+0%,7,Infrastructure buildout,https://github.com/Mininglamp-OSS
nats-io,Social & Community,Seed,Unknown,2,-67%,15,+400%,1,Engineering hiring burst,https://github.com/nats-io
coollabsio,Social & Community,Series A/B,Unknown,65,-18%,41,+81%,1,Engineering hiring burst,https://github.com/coollabsio
opensensorhub,Social & Community,Series A/B,Unknown,3,-70%,22,+0%,0,Framework migration,https://github.com/opensensorhub
opensource-socialnetwork,Social & Community,Series A/B,US,3,-77%,23,+0%,1,Framework migration,https://github.com/opensource-socialnetwork
bakaphp,Social & Community,Seed,LATAM,395,-6%,15,+0%,0,Framework migration,https://github.com/bakaphp
trovu,Social & Community,Pre-seed,Unknown,1,-89%,3,+0%,0,Framework migration,https://github.com/trovu
unacms,Social & Community,Seed,Unknown,87,+38%,11,+19%,0,Framework migration,https://github.com/unacms
activist-org,Social & Community,Growth,EU,5,-72%,100,+0%,0,Framework migration,https://github.com/activist-org
flaskbb,Social & Community,Growth,Unknown,2,-50%,62,+0%,0,Framework migration,https://github.com/flaskbb
HopHubProject,Social & Community,Pre-seed,Unknown,6,-40%,5,+0%,0,Framework migration,https://github.com/HopHubProject
EBWiki,Social & Community,Growth,Unknown,2,-60%,81,+0%,0,Framework migration,https://github.com/EBWiki
pysnippet,Social & Community,Seed,Unknown,14,+999%,8,+0%,0,Deploy frequency spike,https://github.com/pysnippet
VismaLietuva,Social & Community,Series A/B,Unknown,8,+999%,31,+0%,0,Deploy frequency spike,https://github.com/VismaLietuva
Yellow-Dog-Man,Social & Community,Growth,Unknown,4,+999%,55,+20%,1,Deploy frequency spike,https://github.com/Yellow-Dog-Man
PastVu,Social & Community,Seed,Unknown,6,-82%,12,+400%,0,Engineering hiring burst,https://github.com/PastVu
